CBSA,CITY,STATE,Pollutant,Trend Statistic,Number of Trends Sites,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Lat,Lon
41860,San Francisco-Oakland-Hayward,California,PM10,2nd Max,3,46.3,66.7,61.0,37.3,42.0,35.3,52.3,51.0,36.0,31.3,32.0,34.3,37.0,34.7,31.3,29.3,22.0,42.2,53.7,33.7,46.7,25.7,37.778008,-122.431272
41860,San Francisco-Oakland-Hayward,California,PM2.5,Weighted Annual Mean,4,11.2,11.6,12.9,9.4,10.0,9.1,9.6,8.6,9.6,9.0,8.4,8.5,7.5,9.2,7.2,7.7,7.3,9.8,11.7,7.0,10.5,7.3,37.778008,-122.431272
41860,San Francisco-Oakland-Hayward,California,PM2.5,98th Percentile,4,49.0,63.0,55.0,33.0,36.0,35.0,39.0,39.0,30.0,31.0,27.0,26.0,22.0,28.0,22.0,26.0,16.0,33.0,71.0,17.0,53.0,20.0,37.778008,-122.431272
41860,San Francisco-Oakland-Hayward,California,SO2,99th Percentile,5,21.0,21.0,23.0,19.0,19.0,18.0,21.0,19.0,19.0,12.0,11.0,12.0,9.0,9.0,12.0,9.0,9.0,10.0,11.0,10.0,8.0,8.0,37.778008,-122.431272
41940,San Jose-Sunnyvale-Santa Clara,California,O3,4th Max,6,0.067,0.074,0.08,0.078,0.071,0.064,0.079,0.066,0.073,0.071,0.073,0.065,0.064,0.064,0.069,0.068,0.064,0.067,0.06,0.062,0.067,0.068,37.493506100000005,-122.05674855420614
42020,San Luis Obispo-Paso Robles-Arroyo Grande,California,NO2,Annual Mean,1,6.0,6.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,35.243761,-120.685455
42020,San Luis Obispo-Paso Robles-Arroyo Grande,California,NO2,98th Percentile,1,37.0,37.0,36.0,33.0,33.0,32.0,30.0,29.0,29.0,30.0,26.0,28.0,26.0,30.0,25.0,22.0,19.0,23.0,20.0,17.0,17.0,16.0,35.243761,-120.685455
42020,San Luis Obispo-Paso Robles-Arroyo Grande,California,O3,4th Max,4,0.062,0.069,0.067,0.067,0.067,0.062,0.063,0.061,0.065,0.061,0.063,0.06,0.058,0.057,0.062,0.06,0.06,0.06,0.057,0.057,0.06,0.056,35.243761,-120.685455
42020,San Luis Obispo-Paso Robles-Arroyo Grande,California,SO2,99th Percentile,1,99.0,110.0,114.0,100.0,106.0,104.0,102.0,71.0,28.0,5.0,4.0,4.0,5.0,53.0,4.0,3.0,2.0,0.0,1.0,1.0,2.0,2.0,35.243761,-120.685455
42100,Santa Cruz-Watsonville,California,O3,4th Max,1,0.057,0.056,0.054,0.059,0.061,0.051,0.054,0.053,0.057,0.057,0.054,0.056,0.049,0.049,0.062,0.057,0.052,0.06,0.054,0.052,0.048,0.052,36.919166,-121.770556
